data,R,sd,lo,hi,regione
2020-02-27,1.7674144305210306,0.3226628537173637,1.1310399176490422,2.6219569002985432,Veneto
2020-02-28,1.547595189679506,0.30742709574996907,0.9521713890686361,2.361925814448852,Veneto
2020-02-29,1.7267167527944538,0.3365694634610331,1.0629206300890013,2.608997049302329,Veneto
2020-03-01,1.9871874981642679,0.3746781642635599,1.240521383001433,2.976341762229822,Veneto
2020-03-02,2.197206612663792,0.39772657380072785,1.3996232135786393,3.2286933086200347,Veneto
2020-03-03,2.0068487820784986,0.3166696543295357,1.3534093611952236,2.8023666658423103,Veneto
2020-03-04,1.8123826790197388,0.27483258658556814,1.2559986311870925,2.504464509221683,Veneto
2020-03-05,1.695990966818352,0.23976987758503382,1.2365966977990015,2.3255161034392695,Veneto
2020-03-06,1.9013860396662914,0.25833713390878377,1.3930240148896351,2.5830287281287077,Veneto
2020-03-07,2.006053624826537,0.24952627322540394,1.511683097598971,2.6663795558392778,Veneto
2020-03-08,2.1197131864088448,0.23431436857177865,1.6601563855872692,2.7418799229613313,Veneto
2020-03-09,2.6107990046789618,0.24747124745663251,2.100170085783697,3.278504060601957,Veneto
2020-03-10,2.5669502405116638,0.22469936144977126,2.0975248006118634,3.1583247526602887,Veneto
2020-03-11,2.755684734604195,0.22065541132950167,2.2796489519824883,3.3386178226784153,Veneto
2020-03-12,2.5406750001081657,0.19571587368439758,2.0907512643206276,3.053401719306089,Veneto
2020-03-13,2.58771139645339,0.18510245079448226,2.153836523484065,3.0587884804645467,Veneto
2020-03-14,2.4721447708768833,0.16780323147112292,2.0738017740395707,2.89570103515996,Veneto
2020-03-15,2.4535868227428663,0.15229446316557607,2.076208809824757,2.817165690237745,Veneto
2020-03-16,1.913025828924098,0.11928417377150104,1.6212956132830494,2.186172511756971,Veneto
2020-03-17,1.9289065658634381,0.11375783756650105,1.6492125917126412,2.1834147107228725,Veneto
2020-03-18,1.8238197808395091,0.0986692947687344,1.5935304364973149,2.051679134239547,Veneto
2020-03-19,1.8209018100233458,0.09294852776121997,1.6086430109671308,2.0375535319725904,Veneto
2020-03-20,1.7165694267271394,0.0859789340728757,1.5260542024290835,1.9253530890907236,Veneto
2020-03-21,1.7126130259013326,0.08397313927343442,1.529887739984847,1.9255030208064636,Veneto
2020-03-22,1.5343110178031998,0.07639583040505242,1.3668240987441942,1.731749364023944,Veneto
2020-03-23,1.5437659852309196,0.07397996739261978,1.3797400072440549,1.736414492398397,Veneto
2020-03-24,1.4216950477689563,0.06671297302314487,1.272705264099058,1.5918231459969654,Veneto
2020-03-25,1.2644815043864168,0.062446159225667375,1.1235435793166453,1.4218644736465424,Veneto
2020-03-26,1.1759067176681746,0.0586096232626114,1.0406696536538322,1.3205350580142634,Veneto
2020-03-27,1.1362038381632673,0.055721440579912684,1.008650000136576,1.2729565135662024,Veneto
2020-03-28,1.1037203756454612,0.0539979283757439,0.978626246816234,1.2328425158381477,Veneto
2020-03-29,1.0702654589392548,0.05372845128528977,0.9521686639667057,1.203101550195029,Veneto
2020-03-30,1.0494132772106592,0.052411786615448326,0.9394726987378677,1.1890781337666727,Veneto
2020-03-31,0.9653285254162132,0.049868912206952144,0.8614325138134777,1.1012496684126147,Veneto
2020-04-01,0.9385281495786655,0.04812263115099647,0.8356341809025963,1.0685012362701003,Veneto
2020-04-02,0.9340637089050468,0.04854554106778873,0.8318743840030013,1.062275209598673,Veneto
2020-04-03,0.9391271905252465,0.04855978381940274,0.836847028195515,1.0649231380733706,Veneto
2020-04-04,0.9137758520490927,0.04791579722390613,0.8163695488085548,1.0362058257303886,Veneto
2020-04-05,0.9322427197475793,0.048846432126025074,0.826946196946384,1.0543880363842517,Veneto
2020-04-06,0.9599392874213949,0.04980786644664913,0.8526676398349383,1.0818385746238002,Veneto
2020-04-07,1.0134300361222754,0.051993922827182744,0.90350539868086,1.1412531897283291,Veneto
2020-04-08,1.0134625299613236,0.052703187143254206,0.9043061127647457,1.1419151280324689,Veneto
2020-04-09,0.9834610399076296,0.05144653064842747,0.8772544965284126,1.1198399654910849,Veneto
2020-04-10,0.9215253824331523,0.05058171871349136,0.8153801239872465,1.0580756059867953,Veneto
2020-04-11,0.8724535761969403,0.048332285000982626,0.76726381109634,1.0051120517130303,Veneto
2020-04-12,0.7767220551357076,0.04533445024083022,0.6783486916698074,0.9053022663292927,Veneto
2020-04-13,0.745543665451916,0.04503709431134439,0.6472498903859262,0.8739791984750453,Veneto
2020-04-14,0.745726814890556,0.04554448667820638,0.6456927386306435,0.8732258934567871,Veneto
2020-04-15,0.7673349101158095,0.04609169853383851,0.6667854134155731,0.897401561029507,Veneto
2020-04-16,0.7696182432844406,0.0470901747163928,0.6663102701198792,0.8957821517114606,Veneto
2020-04-17,0.7958441768900971,0.047615337400527556,0.6928507002642774,0.920458403340497,Veneto
2020-04-18,0.8613159066062488,0.05114319087002876,0.749498524878289,0.9914975619586492,Veneto
2020-04-19,0.9471997387628962,0.05455498210198677,0.8309293787808649,1.0852864978280004,Veneto
2020-04-20,0.8625548564036256,0.05161804779395982,0.7492650790536739,0.9929549750058045,Veneto
2020-04-21,0.8739926691519789,0.05289328544033147,0.7539248001877746,1.006621369740926,Veneto
2020-04-22,0.8165565598998415,0.05239424679113768,0.6981921857822668,0.9507229345060993,Veneto
2020-04-23,0.7522481889713221,0.05015594765917446,0.6382354357193517,0.8782000676933749,Veneto
2020-04-24,0.7279155648740525,0.04982170208370057,0.6117290049603179,0.8495800426650001,Veneto
